Nama,phone,Minat_Prodi,Gelombang,Asal_Sekolah
"Nrima Maryati, S.I.Kom",+6285896412741,Informatika,Gelombang 1,SMA Negeri 5 Yogyakarta
Mujur Hutapea,+6287800700622,Ilmu Komunikasi,Gelombang 3,SMA Negeri 1 Medan
Samiah Maryati,+6285224234540,Bisnis Digital,Gelombang 1,SMA Negeri 2 Makassar
Cakrabuana Purwanti,+6282327516209,Bisnis Digital,Gelombang 1,SMA Negeri 3 Palembang
T. Tasnim Puspasari,+6285267271082,Teknik Sipil,Gelombang 1,SMA Negeri 1 Denpasar
Reza Susanti,+6281914649283,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 2 Malang
Puti Julia Permata,+6282225024768,Arsitektur,Gelombang 2,SMA Negeri 1 Bogor
"T. Eko Habibi, S.Gz",+6285735443834,Teknik Sipil,Gelombang 2,SMA Negeri 2 Tangerang
Maria Suwarno,+6287820960092,Teknik Sipil,Gelombang 3,SMA Negeri 3 Bekasi
"Rahmi Sinaga, S.H.",+6281824979517,Informatika,Gelombang 1,SMA Negeri 1 Depok
Mulyono Prakasa,+6285677500100,Akuntansi,Gelombang 1,SMK Negeri 1 Jakarta
Hana Pratama,+6287781121960,Arsitektur,Gelombang 1,SMK Negeri 2 Bandung
Puspa Kusumo,+6281279591997,Psikologi,Gelombang 2,SMK Negeri 3 Surabaya
Dt. Cakrabirawa Simbolon,+6282170794398,Sistem Informasi,Gelombang 1,MAN 1 Jakarta
Kemba Tampubolon,+6287700706894,Sistem Informasi,Gelombang 2,MAN 2 Bandung
Opung Widiastuti,+6281798767831,Ilmu Komunikasi,Gelombang 2,SMA Kristen 1 Jakarta
Dipa Budiyanto,+6282331746197,Teknik Sipil,Gelombang 3,SMA Katolik 1 Surabaya
Ayu Mandasari,+6281569390704,Sistem Informasi,Gelombang 1,SMA Muhammadiyah 1 Yogyakarta
Puti Ida Simbolon,+6282122252787,Akuntansi,Gelombang 1,SMA Al-Azhar 1 Jakarta
"R.M. Salman Narpati, S.Sos",+6281420630339,Sistem Informasi,Gelombang 1,SMA Plus Pembangunan Jaya
"Cut Malika Aryani, M.Kom.",+6287791179850,Ilmu Komunikasi,Gelombang 1,SMK Negeri 1 Makassar
"Puput Saputra, M.TI.",+6287722216092,Ilmu Komunikasi,Gelombang 1,SMK Negeri 1 Medan
"Garda Rahimah, M.M.",+6281496745894,Ilmu Komunikasi,Gelombang 2,SMA Negeri 1 Padang
Rahmi Budiyanto,+6281269129345,Arsitektur,Gelombang 2,SMA Negeri 2 Palembang
"Respati Gunawan, M.TI.",+6281732658019,Teknik Sipil,Gelombang 1,SMA Negeri 1 Samarinda
Paulin Wacana,+6281621030597,Teknik Sipil,Gelombang 2,SMA Negeri 1 Manado
Janet Halim,+6285327668414,Akuntansi,Gelombang 2,SMA Negeri 1 Jakarta
Sutan Ozy Sihombing,+6281925464074,Arsitektur,Gelombang 3,SMA Negeri 2 Bandung
"Winda Maryadi, M.Ak",+6282138713234,Teknik Sipil,Gelombang 1,SMA Negeri 3 Surabaya
"Jinawi Zulaika, S.Gz",+6285633059392,Bisnis Digital,Gelombang 1,SMA Negeri 4 Semarang
Caraka Hidayanto,+6285824034196,Psikologi,Gelombang 3,SMA Negeri 5 Yogyakarta
"Vanya Wastuti, M.Ak",+6285323959092,Informatika,Gelombang 1,SMA Negeri 1 Medan
Mutia Jailani,+6287823674821,Informatika,Gelombang 2,SMA Negeri 2 Makassar
Yahya Anggraini,+6285253356105,Psikologi,Gelombang 2,SMA Negeri 3 Palembang
"Baktianto Nuraini, M.Kom.",+6281311387317,Arsitektur,Gelombang 1,SMA Negeri 1 Denpasar
Dr. Narji Purwanti,+6282178358165,Ilmu Komunikasi,Gelombang 3,SMA Negeri 2 Malang
Rangga Salahudin,+6285883061191,Manajemen,Gelombang 3,SMA Negeri 1 Bogor
"R. Erik Siregar, S.I.Kom",+6287783791276,Teknik Sipil,Gelombang 2,SMA Negeri 2 Tangerang
Tgk. Putu Farida,+6281258520114,Akuntansi,Gelombang 2,SMA Negeri 3 Bekasi
Raden Utami,+6287734884503,Teknik Sipil,Gelombang 1,SMA Negeri 1 Depok
Gangsar Suryatmi,+6285259158313,Teknik Sipil,Gelombang 3,SMK Negeri 1 Jakarta
Cindy Nababan,+6287825914452,Informatika,Gelombang 2,SMK Negeri 2 Bandung
Rina Ardianto,+6281271617144,Akuntansi,Gelombang 2,SMK Negeri 3 Surabaya
"drg. Adika Simbolon, S.Pt",+6287749284042,Bisnis Digital,Gelombang 2,MAN 1 Jakarta
Ida Prasetyo,+6281570688764,Desain Komunikasi Visual,Gelombang 3,MAN 2 Bandung
Hafshah Puspita,+6285242297724,Ilmu Komunikasi,Gelombang 3,SMA Kristen 1 Jakarta
"Halima Firmansyah, S.Kom",+6285297856746,Teknik Sipil,Gelombang 3,SMA Katolik 1 Surabaya
"Ir. Melinda Lazuardi, S.E.I",+6285326296755,Psikologi,Gelombang 3,SMA Muhammadiyah 1 Yogyakarta
"Puti Ratih Jailani, S.I.Kom",+6285645205721,Teknik Sipil,Gelombang 3,SMA Al-Azhar 1 Jakarta
Tiara Manullang,+6282375074892,Teknik Sipil,Gelombang 2,SMA Plus Pembangunan Jaya
Winda Novitasari,+6287707379650,Desain Komunikasi Visual,Gelombang 3,SMK Negeri 1 Makassar
"drg. Olga Halimah, S.Ked",+6282360663427,Informatika,Gelombang 1,SMK Negeri 1 Medan
"Bahuraksa Wibisono, S.Gz",+6285951863887,Bisnis Digital,Gelombang 2,SMA Negeri 1 Padang
Cut Eka Mustofa,+6282118782804,Arsitektur,Gelombang 1,SMA Negeri 2 Palembang
Marsito Suryatmi,+6285660542626,Desain Komunikasi Visual,Gelombang 1,SMA Negeri 1 Samarinda
"Perkasa Mansur, S.Pt",+6281270511071,Psikologi,Gelombang 1,SMA Negeri 1 Manado
Lamar Saefullah,+6281384544372,Manajemen,Gelombang 2,SMA Negeri 1 Jakarta
"Hani Sihombing, M.Pd",+6282192483559,Bisnis Digital,Gelombang 3,SMA Negeri 2 Bandung
drg. Aslijan Mardhiyah,+6285374290264,Akuntansi,Gelombang 3,SMA Negeri 3 Surabaya
Capa Wijaya,+6285802007890,Manajemen,Gelombang 3,SMA Negeri 4 Semarang
R. Taswir Prakasa,+6285371521886,Akuntansi,Gelombang 2,SMA Negeri 5 Yogyakarta
Leo Gunawan,+6285631473235,Sistem Informasi,Gelombang 1,SMA Negeri 1 Medan
Elvin Budiman,+6281616835562,Sistem Informasi,Gelombang 3,SMA Negeri 2 Makassar
Gaman Oktaviani,+6281815328400,Psikologi,Gelombang 1,SMA Negeri 3 Palembang
"Maida Yulianti, S.H.",+6281921128632,Arsitektur,Gelombang 2,SMA Negeri 1 Denpasar
Viktor Anggriawan,+6281968557271,Psikologi,Gelombang 2,SMA Negeri 2 Malang
Ida Prastuti,+6285246211015,Desain Komunikasi Visual,Gelombang 1,SMA Negeri 1 Bogor
Prabu Nurdiyanti,+6285363466901,Ilmu Komunikasi,Gelombang 1,SMA Negeri 2 Tangerang
Jelita Laksita,+6281474843219,Psikologi,Gelombang 1,SMA Negeri 3 Bekasi
Dwi Puspita,+6281811765893,Manajemen,Gelombang 3,SMA Negeri 1 Depok
Jayeng Mandala,+6285367227605,Psikologi,Gelombang 3,SMK Negeri 1 Jakarta
Mutia Dabukke,+6285397512265,Psikologi,Gelombang 3,SMK Negeri 2 Bandung
Dr. Dewi Widodo,+6281279048241,Informatika,Gelombang 2,SMK Negeri 3 Surabaya
Jinawi Tarihoran,+6285237656286,Psikologi,Gelombang 1,MAN 1 Jakarta
Gamani Laksmiwati,+6285991380169,Bisnis Digital,Gelombang 1,MAN 2 Bandung
Gatot Maheswara,+6285946540923,Manajemen,Gelombang 1,SMA Kristen 1 Jakarta
Ika Adriansyah,+6282112953183,Desain Komunikasi Visual,Gelombang 2,SMA Katolik 1 Surabaya
dr. Prabowo Pratiwi,+6285304149990,Akuntansi,Gelombang 3,SMA Muhammadiyah 1 Yogyakarta
"Putri Fujiati, M.Pd",+6285913804257,Bisnis Digital,Gelombang 3,SMA Al-Azhar 1 Jakarta
Calista Padmasari,+6282195563190,Ilmu Komunikasi,Gelombang 3,SMA Plus Pembangunan Jaya
Karen Samosir,+6281535446861,Informatika,Gelombang 3,SMK Negeri 1 Makassar
Zalindra Sihombing,+6285209795568,Ilmu Komunikasi,Gelombang 2,SMK Negeri 1 Medan
"Maya Widodo, S.Farm",+6285245578543,Informatika,Gelombang 2,SMA Negeri 1 Padang
Mala Winarsih,+6281466801836,Teknik Sipil,Gelombang 3,SMA Negeri 2 Palembang
Prayoga Nuraini,+6281489517591,Arsitektur,Gelombang 2,SMA Negeri 1 Samarinda
Unjani Sirait,+6281369862655,Informatika,Gelombang 3,SMA Negeri 1 Manado
Genta Pranowo,+6282121532182,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 1 Jakarta
Gambira Hartati,+6281815480247,Manajemen,Gelombang 2,SMA Negeri 2 Bandung
Laila Pudjiastuti,+6281385125735,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 3 Surabaya
Titi Nababan,+6285624389408,Psikologi,Gelombang 3,SMA Negeri 4 Semarang
Ulya Maryati,+6285306693585,Psikologi,Gelombang 2,SMA Negeri 5 Yogyakarta
Rini Wibisono,+6285216693563,Arsitektur,Gelombang 2,SMA Negeri 1 Medan
Suci Wibisono,+6281556572600,Akuntansi,Gelombang 2,SMA Negeri 2 Makassar
"Drs. Olivia Narpati, S.H.",+6281808482774,Sistem Informasi,Gelombang 2,SMA Negeri 3 Palembang
Teddy Hutasoit,+6285397273637,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 1 Denpasar
"Pranawa Andriani, S.Kom",+6285625693784,Sistem Informasi,Gelombang 1,SMA Negeri 2 Malang
"T. Artanto Puspasari, M.M.",+6281796554046,Arsitektur,Gelombang 2,SMA Negeri 1 Bogor
"H. Rendy Manullang, S.Pd",+6285673176909,Desain Komunikasi Visual,Gelombang 1,SMA Negeri 2 Tangerang
Mila Nashiruddin,+6281716559464,Bisnis Digital,Gelombang 2,SMA Negeri 3 Bekasi
Ami Prakasa,+6285706729446,Informatika,Gelombang 1,SMA Negeri 1 Depok
"Bella Sihombing, M.TI.",+6282214315232,Psikologi,Gelombang 3,SMK Negeri 1 Jakarta
Prabawa Halim,+6281784675425,Akuntansi,Gelombang 1,SMK Negeri 2 Bandung
Marsudi Hartati,+6282287092916,Bisnis Digital,Gelombang 3,SMK Negeri 3 Surabaya
"Dr. Aditya Situmorang, S.Gz",+6281755253941,Akuntansi,Gelombang 2,MAN 1 Jakarta
"R. Bala Haryanto, S.Pd",+6282124619504,Desain Komunikasi Visual,Gelombang 2,MAN 2 Bandung
Cornelia Andriani,+6282100660221,Ilmu Komunikasi,Gelombang 1,SMA Kristen 1 Jakarta
"Tgk. Ghaliyati Hutasoit, M.M.",+6285295705850,Bisnis Digital,Gelombang 2,SMA Katolik 1 Surabaya
Jamil Kusumo,+6282321782268,Psikologi,Gelombang 1,SMA Muhammadiyah 1 Yogyakarta
Ghani Purnawati,+6281740943871,Bisnis Digital,Gelombang 1,SMA Al-Azhar 1 Jakarta
"Drs. Sarah Sudiati, S.IP",+6285867585415,Desain Komunikasi Visual,Gelombang 3,SMA Plus Pembangunan Jaya
"Drs. Alika Prayoga, M.Ak",+6281903663922,Manajemen,Gelombang 2,SMK Negeri 1 Makassar
Lala Yuliarti,+6285985244190,Psikologi,Gelombang 1,SMK Negeri 1 Medan
Mujur Simbolon,+6281658078390,Ilmu Komunikasi,Gelombang 1,SMA Negeri 1 Padang
Drs. Gatot Prabowo,+6285911282943,Akuntansi,Gelombang 2,SMA Negeri 2 Palembang
Bakianto Prakasa,+6281697918339,Bisnis Digital,Gelombang 1,SMA Negeri 1 Samarinda
"Tgk. Tari Novitasari, M.Kom.",+6285342050613,Teknik Sipil,Gelombang 3,SMA Negeri 1 Manado
Jindra Mardhiyah,+6281302308794,Akuntansi,Gelombang 3,SMA Negeri 1 Jakarta
Devi Laksita,+6281293792619,Akuntansi,Gelombang 1,SMA Negeri 2 Bandung
Aurora Suartini,+6281954401630,Arsitektur,Gelombang 2,SMA Negeri 3 Surabaya
Bagiya Marpaung,+6281681789828,Manajemen,Gelombang 2,SMA Negeri 4 Semarang
Narji Sihombing,+6282314260326,Manajemen,Gelombang 1,SMA Negeri 5 Yogyakarta
Balijan Utami,+6281208468926,Psikologi,Gelombang 3,SMA Negeri 1 Medan
Eva Hardiansyah,+6285985314791,Manajemen,Gelombang 3,SMA Negeri 2 Makassar
Pia Pradipta,+6281774963467,Sistem Informasi,Gelombang 2,SMA Negeri 3 Palembang
Dalimin Mandasari,+6285940343975,Sistem Informasi,Gelombang 3,SMA Negeri 1 Denpasar
"Clara Sihombing, S.E.I",+6285303541724,Teknik Sipil,Gelombang 1,SMA Negeri 2 Malang
Febi Dongoran,+6281403024318,Informatika,Gelombang 3,SMA Negeri 1 Bogor
Gandi Rajata,+6285977937486,Akuntansi,Gelombang 3,SMA Negeri 2 Tangerang
Nasrullah Hariyah,+6281369930457,Akuntansi,Gelombang 2,SMA Negeri 3 Bekasi
"Farah Napitupulu, S.E.",+6281481297162,Ilmu Komunikasi,Gelombang 3,SMA Negeri 1 Depok
"Hj. Cinthia Hutapea, M.Ak",+6281434256985,Bisnis Digital,Gelombang 1,SMK Negeri 1 Jakarta
Opan Damanik,+6285948262080,Arsitektur,Gelombang 2,SMK Negeri 2 Bandung
"Dr. Ian Manullang, S.Kom",+6281345421965,Manajemen,Gelombang 3,SMK Negeri 3 Surabaya
"R.A. Kania Zulaika, S.I.Kom",+6285874626341,Manajemen,Gelombang 3,MAN 1 Jakarta
"Rusman Anggraini, M.Ak",+6287741253265,Sistem Informasi,Gelombang 3,MAN 2 Bandung
Zalindra Rahmawati,+6287864933634,Informatika,Gelombang 1,SMA Kristen 1 Jakarta
Victoria Pratama,+6281830159183,Manajemen,Gelombang 2,SMA Katolik 1 Surabaya
Amalia Waskita,+6285382867900,Ilmu Komunikasi,Gelombang 3,SMA Muhammadiyah 1 Yogyakarta
Cornelia Setiawan,+6281751895921,Sistem Informasi,Gelombang 2,SMA Al-Azhar 1 Jakarta
Vivi Budiman,+6282209653158,Desain Komunikasi Visual,Gelombang 3,SMA Plus Pembangunan Jaya
Wakiman Usamah,+6285354372297,Teknik Sipil,Gelombang 3,SMK Negeri 1 Makassar
Drs. Mursinin Riyanti,+6281722386836,Arsitektur,Gelombang 1,SMK Negeri 1 Medan
Wulan Widiastuti,+6285883587317,Manajemen,Gelombang 2,SMA Negeri 1 Padang
Daru Sitompul,+6281432907566,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 2 Palembang
"Ismail Mulyani, M.M.",+6281720101153,Teknik Sipil,Gelombang 3,SMA Negeri 1 Samarinda
Rahmi Iswahyudi,+6282328821527,Manajemen,Gelombang 2,SMA Negeri 1 Manado
Elvina Saptono,+6285729160795,Manajemen,Gelombang 3,SMA Negeri 1 Jakarta
Halima Prasetya,+6287814581958,Psikologi,Gelombang 2,SMA Negeri 2 Bandung
Dimas Lailasari,+6285380147700,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 3 Surabaya
"Wakiman Rahmawati, S.Farm",+6281851800847,Psikologi,Gelombang 2,SMA Negeri 4 Semarang
"Tgk. Balamantri Usamah, S.Ked",+6281759319319,Informatika,Gelombang 3,SMA Negeri 5 Yogyakarta
"Ir. Aslijan Tampubolon, S.H.",+6285896247273,Arsitektur,Gelombang 2,SMA Negeri 1 Medan
Langgeng Kuswandari,+6281467958118,Manajemen,Gelombang 1,SMA Negeri 2 Makassar
"Estiawan Wahyudin, M.Farm",+6285746848452,Bisnis Digital,Gelombang 2,SMA Negeri 3 Palembang
Upik Tampubolon,+6287702444368,Arsitektur,Gelombang 3,SMA Negeri 1 Denpasar
"Tgk. Lanjar Wulandari, S.Farm",+6281852433398,Arsitektur,Gelombang 1,SMA Negeri 2 Malang
Cindy Wibisono,+6285375582898,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 1 Bogor
Ikhsan Kuswoyo,+6285604459183,Informatika,Gelombang 1,SMA Negeri 2 Tangerang
"Tgk. Asman Nuraini, M.M.",+6281472398094,Akuntansi,Gelombang 2,SMA Negeri 3 Bekasi
Hamima Wibisono,+6281663123098,Informatika,Gelombang 2,SMA Negeri 1 Depok
"Putu Kuswoyo, M.Kom.",+6281602173203,Teknik Sipil,Gelombang 1,SMK Negeri 1 Jakarta
T. Tri Pradipta,+6281324202056,Akuntansi,Gelombang 2,SMK Negeri 2 Bandung
Lidya Putra,+6282247817269,Informatika,Gelombang 2,SMK Negeri 3 Surabaya
Karta Oktaviani,+6285204002756,Informatika,Gelombang 3,MAN 1 Jakarta
Dr. Rama Widiastuti,+6282214824212,Informatika,Gelombang 1,MAN 2 Bandung
Puji Situmorang,+6285870024175,Sistem Informasi,Gelombang 3,SMA Kristen 1 Jakarta
"Omar Mangunsong, M.M.",+6285229313568,Teknik Sipil,Gelombang 1,SMA Katolik 1 Surabaya
"Dr. Ina Irawan, M.Farm",+6285716529126,Arsitektur,Gelombang 1,SMA Muhammadiyah 1 Yogyakarta
Dt. Umar Wijayanti,+6282145493234,Arsitektur,Gelombang 1,SMA Al-Azhar 1 Jakarta
"Usyi Jailani, M.Farm",+6281837811633,Informatika,Gelombang 2,SMA Plus Pembangunan Jaya
"R.M. Halim Ramadan, S.H.",+6282219536396,Informatika,Gelombang 1,SMK Negeri 1 Makassar
"Drs. Mahesa Prayoga, S.H.",+6285894599992,Teknik Sipil,Gelombang 3,SMK Negeri 1 Medan
Irma Utami,+6282315821303,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 1 Padang
Ella Kusumo,+6281289505446,Ilmu Komunikasi,Gelombang 1,SMA Negeri 2 Palembang
Atma Santoso,+6281710561428,Akuntansi,Gelombang 2,SMA Negeri 1 Samarinda
Wirda Kuswandari,+6281703756113,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 1 Manado
"Dr. Irma Kusmawati, S.Gz",+6287719004655,Sistem Informasi,Gelombang 2,SMA Negeri 1 Jakarta
Darmanto Nurdiyanti,+6281936848719,Ilmu Komunikasi,Gelombang 3,SMA Negeri 2 Bandung
R.A. Yulia Utami,+6281334706496,Manajemen,Gelombang 3,SMA Negeri 3 Surabaya
Cahya Sihotang,+6285702698894,Bisnis Digital,Gelombang 1,SMA Negeri 4 Semarang
Ridwan Dabukke,+6281624177942,Psikologi,Gelombang 3,SMA Negeri 5 Yogyakarta
Ega Halim,+6281215367733,Psikologi,Gelombang 2,SMA Negeri 1 Medan
Dt. Hasta Najmudin,+6281854466199,Bisnis Digital,Gelombang 2,SMA Negeri 2 Makassar
Irwan Wahyudin,+6281734666182,Arsitektur,Gelombang 1,SMA Negeri 3 Palembang
Laila Kusumo,+6285841849269,Manajemen,Gelombang 1,SMA Negeri 1 Denpasar
Ozy Habibi,+6281859638716,Akuntansi,Gelombang 2,SMA Negeri 2 Malang
Cornelia Tarihoran,+6281990392481,Manajemen,Gelombang 1,SMA Negeri 1 Bogor
R.A. Patricia Kusmawati,+6285738661226,Arsitektur,Gelombang 2,SMA Negeri 2 Tangerang
Sakura Nashiruddin,+6285797552292,Bisnis Digital,Gelombang 2,SMA Negeri 3 Bekasi
"R.M. Karja Hidayanto, S.H.",+6285917800312,Sistem Informasi,Gelombang 3,SMA Negeri 1 Depok
Asmadi Puspita,+6282312331396,Akuntansi,Gelombang 2,SMK Negeri 1 Jakarta
drg. Titin Laksita,+6281581116214,Psikologi,Gelombang 3,SMK Negeri 2 Bandung
"Ani Maulana, S.Ked",+6282156306493,Teknik Sipil,Gelombang 3,SMK Negeri 3 Surabaya
Eka Mulyani,+6285942488408,Bisnis Digital,Gelombang 2,MAN 1 Jakarta
Hilda Melani,+6281752375313,Informatika,Gelombang 1,MAN 2 Bandung
Cakrawala Mahendra,+6281256289779,Psikologi,Gelombang 2,SMA Kristen 1 Jakarta
Darmanto Hutasoit,+6285620712467,Sistem Informasi,Gelombang 1,SMA Katolik 1 Surabaya
Zelaya Permata,+6281912184027,Sistem Informasi,Gelombang 1,SMA Muhammadiyah 1 Yogyakarta
Catur Wastuti,+6281402834355,Arsitektur,Gelombang 3,SMA Al-Azhar 1 Jakarta
Ega Waluyo,+6285928409265,Informatika,Gelombang 1,SMA Plus Pembangunan Jaya
Mutia Santoso,+6281464995734,Sistem Informasi,Gelombang 3,SMK Negeri 1 Makassar
Ir. Galiono Andriani,+6281669335808,Teknik Sipil,Gelombang 3,SMK Negeri 1 Medan
Rika Januar,+6281335127467,Informatika,Gelombang 1,SMA Negeri 1 Padang
Umi Namaga,+6281942692592,Akuntansi,Gelombang 1,SMA Negeri 2 Palembang
"Drs. Kasiran Nasyidah, M.TI.",+6281320227630,Psikologi,Gelombang 1,SMA Negeri 1 Samarinda
"Dirja Hartati, S.Sos",+6281248015274,Arsitektur,Gelombang 3,SMA Negeri 1 Manado
Hamima Yolanda,+6285958184797,Psikologi,Gelombang 2,SMA Negeri 1 Jakarta
Zulaikha Wahyudin,+6287746027672,Arsitektur,Gelombang 1,SMA Negeri 2 Bandung
Ir. Paulin Mandasari,+6282206756056,Informatika,Gelombang 3,SMA Negeri 3 Surabaya
Jagapati Kurniawan,+6281612659631,Bisnis Digital,Gelombang 3,SMA Negeri 4 Semarang
"Hani Gunarto, S.H.",+6282249510685,Sistem Informasi,Gelombang 2,SMA Negeri 5 Yogyakarta
Narji Mayasari,+6285709062736,Ilmu Komunikasi,Gelombang 2,SMA Negeri 1 Medan
Rahmi Mangunsong,+6281423274813,Informatika,Gelombang 1,SMA Negeri 2 Makassar
Nasab Haryanto,+6282204934582,Teknik Sipil,Gelombang 1,SMA Negeri 3 Palembang
"Dacin Prakasa, S.H.",+6282388222744,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 1 Denpasar
Lukita Suryono,+6281436170381,Informatika,Gelombang 2,SMA Negeri 2 Malang
"R.M. Hardi Mulyani, S.Psi",+6281726666508,Ilmu Komunikasi,Gelombang 3,SMA Negeri 1 Bogor
Pangeran Thamrin,+6285910965775,Akuntansi,Gelombang 1,SMA Negeri 2 Tangerang
"Laras Firgantoro, S.E.",+6285725019817,Ilmu Komunikasi,Gelombang 1,SMA Negeri 3 Bekasi
Dasa Hastuti,+6285776200405,Informatika,Gelombang 3,SMA Negeri 1 Depok
Hartana Irawan,+6281649170952,Sistem Informasi,Gelombang 2,SMK Negeri 1 Jakarta
Taufik Gunawan,+6281862885303,Bisnis Digital,Gelombang 2,SMK Negeri 2 Bandung
Nardi Agustina,+6285835816673,Bisnis Digital,Gelombang 2,SMK Negeri 3 Surabaya
Dr. Darman Waskita,+6282291292411,Sistem Informasi,Gelombang 2,MAN 1 Jakarta
Vero Budiman,+6281353950388,Bisnis Digital,Gelombang 2,MAN 2 Bandung
Ozy Halim,+6285245195768,Manajemen,Gelombang 3,SMA Kristen 1 Jakarta
"T. Cengkir Saragih, M.Ak",+6285371947414,Akuntansi,Gelombang 1,SMA Katolik 1 Surabaya
Jamal Sudiati,+6281682022232,Informatika,Gelombang 1,SMA Muhammadiyah 1 Yogyakarta
Zaenab Prasetyo,+6281280409236,Bisnis Digital,Gelombang 3,SMA Al-Azhar 1 Jakarta
Gina Suryono,+6281812079894,Informatika,Gelombang 3,SMA Plus Pembangunan Jaya
"R. Fitria Maryadi, S.Pt",+6281892806906,Psikologi,Gelombang 2,SMK Negeri 1 Makassar
"T. Umar Simanjuntak, M.M.",+6281706903599,Desain Komunikasi Visual,Gelombang 1,SMK Negeri 1 Medan
Hari Uwais,+6281665516800,Informatika,Gelombang 2,SMA Negeri 1 Padang
Samsul Pudjiastuti,+6285951901829,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 2 Palembang
Wani Januar,+6285669624107,Ilmu Komunikasi,Gelombang 3,SMA Negeri 1 Samarinda
"Karman Farida, M.M.",+6281828873543,Sistem Informasi,Gelombang 1,SMA Negeri 1 Manado
"Nabila Mardhiyah, S.H.",+6281371586217,Akuntansi,Gelombang 1,SMA Negeri 1 Jakarta
"Warta Hutapea, S.Farm",+6281732783302,Arsitektur,Gelombang 2,SMA Negeri 2 Bandung
